"city","state","lat","lng","population","Business Freedom","Commute","Cost of Living","Economy","Education","Environmental Quality","Healthcare","Housing","Internet Access","Leisure & Culture","Outdoors","Safety","Startups","Taxation","Tolerance","Travel Connectivity","Venture Capital"
"Bellevue","PA",40.4945,-80.055,8287,8.671,4.308,4.795,6.5145,6.5935,6.87425,8.58233333333333,5.9635,8.6695,6.859,4.0685,4.791,6.5075,3.7785,7.39,1.738,3.581
"Bellevue","WA",47.5951,-122.1535,149365,8.671,4.52375,3.79,6.5145,5.7145,7.56025,8.72433333333333,2.291,4.9405,8.1155,7.2095,5.6365,8.367,4.772,8.0895,2.8845,7.551
"Belmont","CA",37.5154,-122.2953,28109,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Belmont","VA",39.0622,-77.4985,9589,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Bergenfield","NJ",40.9236,-73.9982,28282,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Berkeley","CA",37.8722,-122.276,119607,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Berkeley","IL",41.8891,-87.9115,5314,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Berkeley","MO",38.7439,-90.3361,8310,8.671,5.0855,5.504,6.5145,5.2715,7.37425,8.87733333333333,6.958,8.909,7.6425,4.8285,3.8805,5.424,4.062,4.376,2.5315,3.885
"Berwyn","IL",41.8433,-87.7909,56960,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Berwyn","PA",40.0396,-75.4439,3620,8.671,4.1315,4.422,6.5145,6.0285,5.124,8.62166666666667,4.207,7.443,8.492,4.115,3.133,7.3625,3.7785,5.8645,3.556,5.216
"Bethesda","MD",38.9866,-77.1188,66294,8.671,4.457,3.595,6.5145,5.9685,6.99375,8.49066666666667,1.2105,3.8255,10,5.0235,2.1915,8.774,4.062,6.5495,4.505,8.056
"Beverly","MA",42.5681,-70.8627,42448,8.671,4.39625,4.259,6.5145,8.6245,8.1705,8.956,1,5.7005,8.564,5.66,7.742,9.565,4.062,8.4815,3.215,10
"Beverly","NJ",40.0652,-74.9221,2107,8.671,4.1315,4.422,6.5145,6.0285,5.124,8.62166666666667,4.207,7.443,8.492,4.115,3.133,7.3625,3.7785,5.8645,3.556,5.216
"Birmingham","AL",33.5279,-86.7971,704676,8.671,2.02075,5.133,6.5145,3.6245,7.0375,8.74333333333333,6.5555,5.1605,5.3835,1.266,1.776,4.3575,4.204,4.8815,1.4355,1
"Birmingham","MI",42.5446,-83.2166,21728,8.671,0.933,6.032,6.5145,5.8185,4.04675,8.279,6.223,6.167,7.478,5.3875,4.4615,5.4015,3.7785,3.678,3.6405,5.184
"Bloomfield","NY",42.8991,-77.4242,1435,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Bloomington","CA",34.0601,-117.4013,22107,8.57466666666667,3.677,4.556,6.5145,8.6245,4.7315,8.43966666666667,1.5275,5.4965,9.196,6.747,5.705,10,4.7675,6.96,3.9585,10
"Bloomington","MN",44.8306,-93.3151,89436,8.671,4.925,5.042,6.5145,5.2745,8.362,8.972,4.7385,6.2585,6.8505,5.096,5.085,6.5265,4.062,7.288,3.544,5.523
"Boca Raton","FL",26.3752,-80.108,95347,8.671,4.05275,4.497,6.5145,4.3945,6.292,8.529,3.031,5.824,6.7675,5.3845,4.321,8.0225,4.772,6.0435,4.169,5.055
"Boise","ID",43.6005,-116.2308,422665,8.671,5.225,6.578,6.5145,3.6245,8.0695,8.881,6.9635,3.442,4.1995,5.221,4.3605,4.205,4.062,6.9275,1.3235,2.596
"Boston","MA",42.3188,-71.0852,4208580,8.671,4.39625,4.259,6.5145,8.6245,8.1705,8.956,1,5.7005,8.564,5.66,7.742,9.565,4.062,8.4815,3.215,10
"Bothell","WA",47.7735,-122.2044,47355,8.671,4.52375,3.79,6.5145,5.7145,7.56025,8.72433333333333,2.291,4.9405,8.1155,7.2095,5.6365,8.367,4.772,8.0895,2.8845,7.551
"Boulder","CO",40.0248,-105.2524,120818,8.671,6.138,4.531,6.5145,4.679,9.84375,8.89166666666667,3.704,6.278,2.565,6.699,7.0735,5.853,4.346,9.2745,4.207,6.019
"Bozeman","MT",45.6833,-111.0558,51574,8.671,NA,NA,6.5145,4.128,9.369,8.88533333333333,2.949,5.156,1.907,6.134,6.9145,3.407,4.062,7.2935,1.1905,NA
"Brea","CA",33.9254,-117.8655,46912,8.57466666666667,3.677,4.556,6.5145,8.6245,4.7315,8.43966666666667,1.5275,5.4965,9.196,6.747,5.705,10,4.7675,6.96,3.9585,10
"Bridgeport","IL",38.7096,-87.759,1859,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Bridgeport","OH",40.0673,-80.7473,1653,8.671,5.02675,5.746,6.5145,5.0475,8.166,8.689,6.2895,4.5535,6.466,4.545,5.2815,5.8785,3.9205,5.9215,1.663,4.973
"Bridgeport","PA",40.1042,-75.3437,4961,8.671,4.1315,4.422,6.5145,6.0285,5.124,8.62166666666667,4.207,7.443,8.492,4.115,3.133,7.3625,3.7785,5.8645,3.556,5.216
"Bridgeport","TX",33.21,-97.7708,5781,8.671,4.4705,6.091,6.5145,4.284,6.693,8.43933333333333,5.259,6.461,7.1685,4.502,4.339,7.9395,4.772,5.294,4.7465,4.916
"Brooklyn Park","MD",39.217,-76.6174,15541,5.502,4.93475,4.982,6.5145,5.8805,5.7845,8.94466666666666,4.83,4.988,NA,3.9795,2.373,NA,4.062,5.755,3.6665,4.358
"Brooklyn Park","MN",45.1112,-93.3505,85247,8.671,4.925,5.042,6.5145,5.2745,8.362,8.972,4.7385,6.2585,6.8505,5.096,5.085,6.5265,4.062,7.288,3.544,5.523
"Brooklyn","IL",38.6542,-90.1679,627,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Brooklyn","NY",40.6501,-73.9496,2736074,8.671,5.51925,2.342,6.5145,8.0935,5.23375,8.50166666666667,1,7.0985,10,5.7475,7.022,10,3.9205,6.7125,6.675,10
"Brooklyn","OH",41.4349,-81.7497,11291,8.671,4.42125,5.595,6.5145,4.6185,7.2505,8.899,7.156,5.4765,5.6965,4.669,3.637,4.961,3.9205,4.7755,2.0775,3.646
"Broomfield","CO",39.9542,-105.0526,72697,8.671,4.53,5.102,6.5145,3.6245,7.11675,8.61566666666667,3.8375,5.4185,6.2235,7.933,5.371,7.8645,4.346,7.8605,4.243,6.117
"Buffalo Grove","IL",42.1675,-87.9615,43062,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Buffalo","MN",45.1794,-93.8644,16121,8.671,4.925,5.042,6.5145,5.2745,8.362,8.972,4.7385,6.2585,6.8505,5.096,5.085,6.5265,4.062,7.288,3.544,5.523
"Buffalo","NY",42.9018,-78.8487,1004655,8.671,2.154,5.228,6.5145,4.212,8.32925,8.498,7.0765,6.758,4.32,4.6465,7.1885,3.947,3.9205,7.404,1.511,2.715
"Burbank","CA",34.1879,-118.3235,107364,8.62283333333333,4.182125,3.587,6.5145,8.6245,5.6065,8.59383333333333,1.26375,5.551,9.3015,6.8805,5.71025,10,4.62775,7.48625,3.8065,10
"Burbank","IL",41.7444,-87.7686,29312,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Burlingame","CA",37.5859,-122.3667,31142,8.671,4.68725,2.618,6.5145,8.6245,6.4815,8.748,1,5.6055,9.407,7.014,5.7155,10,4.488,8.0125,3.6545,10
"Burlington","IL",42.0416,-88.5508,495,8.671,4.57975,4.766,6.5145,7.999,6.8045,8.555,3.702,6.5995,8.193,5.4155,3.832,9.513,4.062,6.134,5.5075,8.368
"Burlington","KY",39.0223,-84.7217,18394,8.671,4.7435,6.108,6.5145,4.2805,7.1095,8.638,6.6775,6.512,6.118,3.6075,4.975,6.0995,3.9205,5.299,1.9265,2.709
"Burlington","OH",38.4099,-82.5283,2892,8.671,4.7435,6.108,6.5145,4.2805,7.1095,8.638,6.6775,6.512,6.118,3.6075,4.975,6.0995,3.9205,5.299,1.9265,2.709
"Burlington","WI",42.6744,-88.2721,10971,8.671,4.915,5.526,6.5145,4.177,7.989,8.59433333333333,6.1225,4.346,6.8375,5.064,4.267,4.8305,4.204,4.844,1.5875,2.005
"Burnsville","MN",44.7648,-93.2793,63926,8.671,4.925,5.042,6.5145,5.2745,8.362,8.972,4.7385,6.2585,6.8505,5.096,5.085,6.5265,4.062,7.288,3.544,5.523
"California","PA",40.0692,-79.9152,5628,8.671,4.308,4.795,6.5145,6.5935,6.87425,8.58233333333333,5.9635,8.6695,6.859,4.0685,4.791,6.5075,3.7785,7.39,1.738,3.581
"Camas","WA",45.6005,-122.4304,25774,8.671,4.908,4.924,6.5145,4.2155,8.4595,8.59666666666667,4.138,5.9685,6.2195,6.304,5.1805,6.957,3.9205,8.1595,2.2405,5.899
